id,label
train_000001,6
train_000002,6
train_000003,7
train_000004,7
train_000005,4
train_000006,9
train_000007,1
train_000008,9
train_000009,5
train_000010,7
train_000011,3
train_000012,3
train_000013,2
train_000014,4
train_000015,6
train_000016,3
train_000017,9
train_000018,8
train_000019,9
train_000020,9
train_000021,1
train_000022,4
train_000023,5
train_000024,7
train_000025,7
train_000026,1
train_000027,0
train_000028,5
train_000029,3
train_000030,7
train_000031,9
train_000032,8
train_000033,7
train_000034,2
train_000035,0
train_000036,6
train_000037,3
train_000038,3
train_000039,0
train_000040,6
train_000041,5
train_000042,2
train_000043,0
train_000044,1
train_000045,1
train_000046,2
train_000047,4
train_000048,8
train_000049,8
train_000050,2
train_000051,4
train_000052,8
train_000053,6
train_000054,0
train_000055,5
train_000056,7
train_000057,6
train_000058,6
train_000059,7
train_000060,0
train_000061,6
train_000062,7
train_000063,1
train_000064,3
train_000065,1
train_000066,6
train_000067,9
train_000068,9
train_000069,7
train_000070,9
train_000071,3
train_000072,2
train_000073,1
train_000074,1
train_000075,2
train_000076,3
train_000077,4
train_000078,4
train_000079,2
train_000080,3
train_000081,0
train_000082,9
train_000083,1
train_000084,3
train_000085,2
train_000086,0
train_000087,6
train_000088,0
train_000089,0
train_000090,7
train_000091,4
train_000092,2
train_000093,8
train_000094,8
train_000095,5
train_000096,1
train_000097,1
train_000098,2
train_000099,3
train_000100,1
train_000101,9
train_000102,6
train_000103,8
train_000104,2
train_000105,5
train_000106,3
train_000107,9
train_000108,5
train_000109,0
train_000110,3
train_000111,7
train_000112,0
train_000113,0
train_000114,5
train_000115,6
train_000116,3
train_000117,6
train_000118,7
train_000119,0
train_000120,6
train_000121,5
train_000122,7
train_000123,9
train_000124,3
train_000125,5
train_000126,5
train_000127,5
train_000128,7
train_000129,6
train_000130,3
train_000131,1
train_000132,5
train_000133,8
train_000134,0
train_000135,5
train_000136,5
train_000137,4
train_000138,9
train_000139,4
train_000140,7
train_000141,7
train_000142,9
train_000143,9
train_000144,5
train_000145,9
train_000146,7
train_000147,9
train_000148,6
train_000149,0
train_000150,7
train_000151,1
train_000152,8
train_000153,8
train_000154,7
train_000155,9
train_000156,6
train_000157,0
train_000158,0
train_000159,7
train_000160,3
train_000161,3
train_000162,8
train_000163,7
train_000164,4
train_000165,0
train_000166,7
train_000167,8
train_000168,0
train_000169,6
train_000170,7
train_000171,6
train_000172,4
train_000173,3
train_000174,3
train_000175,1
train_000176,4
train_000177,1
train_000178,8
train_000179,9
train_000180,0
train_000181,0
train_000182,4
train_000183,6
train_000184,2
train_000185,1
train_000186,9
train_000187,9
train_000188,4
train_000189,2
train_000190,0
train_000191,9
train_000192,3
train_000193,8
train_000194,2
train_000195,9
train_000196,6
train_000197,7
train_000198,9
train_000199,6
train_000200,3
train_000201,1
train_000202,1
train_000203,8
train_000204,1
train_000205,7
train_000206,7
train_000207,6
train_000208,2
train_000209,5
train_000210,6
train_000211,1
train_000212,9
train_000213,8
train_000214,4
train_000215,8
train_000216,2
train_000217,3
train_000218,0
train_000219,3
train_000220,6
train_000221,8
train_000222,9
train_000223,6
train_000224,6
train_000225,6
train_000226,0
train_000227,9
train_000228,2
train_000229,3
train_000230,1
train_000231,7
train_000232,9
train_000233,3
train_000234,6
train_000235,3
train_000236,7
train_000237,2
train_000238,1
train_000239,1
train_000240,8
train_000241,7
train_000242,1
train_000243,2
train_000244,1
train_000245,7
train_000246,5
train_000247,6
